                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1538,                 1.2979,                 1.4351,                0.98205,                0.81157,                0.71151,                0.77288,                 0.4941,                0.81799,                0.66306,                0.74759,                0.41876,                 1.1599,                 1.4373,                0.86375,                0.99818,              0.0033324,              0.0033324,              0.0033324
                      2,                 1.0702,                 1.0732,                0.76173,                0.95818,                  0.852,                0.72522,                0.79539,                 0.5111,                0.85309,                0.70026,                0.78881,                0.45406,                 1.1897,                 1.3719,                0.74833,                 1.0321,              0.0065997,              0.0065997,              0.0065997
                      3,                  1.068,                  1.069,                0.71471,                 0.9737,                0.79994,                0.71039,                0.76158,                0.46988,                0.78932,                0.68215,                  0.748,                0.39507,                 1.2679,                  1.566,                0.80038,                 1.0833,              0.0098011,              0.0098011,              0.0098011
                      4,                 1.0207,                 1.0348,                0.67181,                0.96911,                0.84896,                0.72852,                0.79691,                0.50494,                0.83973,                0.68649,                 0.7802,                 0.4336,                 1.1866,                 1.3541,                0.71912,                 1.0579,               0.009703,               0.009703,               0.009703
                      5,                0.94006,                 0.9638,                0.60814,                0.94591,                0.83624,                0.75339,                0.80746,                0.52775,                0.83349,                0.71143,                 0.7954,                0.45616,                 1.1404,                 1.3541,                0.66329,                 1.0458,               0.009604,               0.009604,               0.009604
                      6,                0.89572,                0.92569,                0.57719,                0.93192,                0.83516,                0.77351,                0.82068,                0.53578,                0.82904,                0.72338,                0.80474,                0.46289,                   1.15,                 1.3786,                 0.6251,                 1.0453,               0.009505,               0.009505,               0.009505
                      7,                0.86183,                0.89054,                0.55475,                0.92138,                0.85422,                0.77164,                0.81987,                 0.5386,                0.84624,                0.73325,                0.81306,                0.47021,                 1.1385,                 1.3354,                0.61708,                 1.0363,               0.009406,               0.009406,               0.009406
                      8,                 0.8399,                 0.8675,                0.54053,                 0.9137,                0.85852,                0.76284,                 0.8225,                 0.5416,                0.85346,                0.71558,                0.80347,                0.46217,                  1.119,                 1.3571,                0.60041,                  1.028,               0.009307,               0.009307,               0.009307
                      9,                  0.821,                0.84886,                0.52839,                0.90911,                0.86912,                0.75584,                0.81527,                0.54107,                0.85601,                0.71805,                0.80163,                0.46193,                 1.1035,                  1.339,                0.59732,                 1.0257,               0.009208,               0.009208,               0.009208
                     10,                0.80524,                0.83117,                0.51907,                0.90267,                0.86214,                 0.7651,                0.82042,                0.54118,                0.84799,                0.72736,                0.80525,                0.46639,                 1.1317,                 1.3565,                0.59003,                  1.025,               0.009109,               0.009109,               0.009109
                     11,                0.79106,                0.82064,                 0.5098,                0.89844,                0.85679,                0.77065,                0.82479,                0.54153,                0.83984,                0.72189,                0.80414,                0.46191,                 1.1275,                 1.3604,                0.58614,                 1.0262,                0.00901,                0.00901,                0.00901
                     12,                0.77855,                 0.8023,                0.50275,                0.89374,                0.87046,                0.76779,                0.82423,                0.54555,                0.85303,                0.72965,                 0.8063,                0.46436,                 1.1339,                 1.3715,                0.58492,                 1.0289,               0.008911,               0.008911,               0.008911
                     13,                0.77206,                0.79802,                0.49566,                0.89419,                0.86775,                0.76961,                0.82566,                0.54456,                0.84961,                0.73169,                0.80901,                0.46251,                 1.1306,                 1.3705,                0.58107,                 1.0252,               0.008812,               0.008812,               0.008812
                     14,                0.76388,                0.79123,                0.49096,                0.88887,                0.86076,                0.76883,                0.82461,                0.54427,                0.83976,                0.73098,                0.80432,                0.46141,                  1.128,                 1.3728,                0.57915,                 1.0245,               0.008713,               0.008713,               0.008713
                     15,                0.75661,                0.78256,                 0.4864,                0.88753,                0.85963,                0.77305,                0.82632,                0.54557,                0.84409,                0.73039,                0.80535,                0.46076,                 1.1246,                 1.3868,                0.57677,                 1.0235,               0.008614,               0.008614,               0.008614
