                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3344,                 2.2597,                 1.9943,                 1.2681,                0.80562,                0.77917,                0.78803,                0.51092,                0.79113,                0.75758,                0.75794,                0.44501,                 1.2304,                 1.6919,                 1.1521,                 1.2592,               0.003328,               0.003328,               0.003328
                      2,                 1.0882,                 1.6128,                 1.0703,                 1.0869,                 0.8632,                0.77957,                0.83465,                0.54321,                0.85608,                0.77526,                0.81829,                0.49247,                 1.2522,                 1.8042,                0.94145,                 1.3535,              0.0065954,              0.0065954,              0.0065954
                      3,                 1.0411,                 1.5167,                0.91701,                 1.0702,                0.87741,                0.78123,                0.83525,                0.56591,                0.88217,                0.78318,                0.83358,                0.48588,                 1.1977,                 1.7792,                0.85708,                  1.302,              0.0097968,              0.0097968,              0.0097968
                      4,                0.99475,                 1.4222,                 0.7873,                 1.0567,                0.89683,                 0.7831,                0.85444,                0.54741,                0.87803,                0.76976,                0.82732,                0.50228,                 1.2951,                 1.7124,                0.88396,                 1.3754,               0.009703,               0.009703,               0.009703
                      5,                 0.9113,                 1.2959,                0.67457,                 1.0216,                0.87779,                0.83764,                0.87973,                 0.5871,                 0.9182,                0.78861,                0.85453,                0.52797,                 1.2595,                 1.8074,                0.71086,                 1.3477,               0.009604,               0.009604,               0.009604
                      6,                0.84484,                 1.1999,                0.60279,                0.99577,                0.92484,                  0.797,                 0.8539,                0.55874,                0.91598,                0.78944,                0.82638,                0.50808,                 1.2586,                 1.9429,                 0.7008,                 1.3674,               0.009505,               0.009505,               0.009505
                      7,                0.79786,                 1.1315,                0.55698,                0.97973,                0.90662,                0.83503,                0.86724,                0.57686,                0.89364,                0.82346,                0.83708,                0.52151,                 1.1539,                 1.7389,                0.66162,                 1.2967,               0.009406,               0.009406,               0.009406
                      8,                0.76447,                 1.0796,                0.52799,                0.96967,                0.90147,                0.84722,                0.88491,                 0.5924,                0.87741,                0.82511,                0.84489,                0.51131,                 1.1962,                 1.9233,                 0.6426,                 1.2952,               0.009307,               0.009307,               0.009307
                      9,                0.73641,                 1.0419,                0.50318,                0.95551,                 0.9057,                0.83411,                0.87672,                 0.5954,                  0.888,                0.79865,                0.83435,                0.52923,                 1.2074,                 2.0327,                 0.6511,                 1.3456,               0.009208,               0.009208,               0.009208
                     10,                0.71837,                 1.0107,                0.48626,                0.95203,                0.91396,                0.83928,                 0.8717,                0.57638,                0.87886,                0.80618,                0.82179,                0.51645,                 1.2622,                 2.0097,                0.64852,                 1.3934,               0.009109,               0.009109,               0.009109
                     11,                0.69811,                0.97641,                0.47339,                0.94395,                0.91789,                0.84415,                0.88531,                0.61842,                0.92417,                0.83544,                0.86619,                0.55075,                 1.1801,                  1.938,                0.62187,                 1.3145,                0.00901,                0.00901,                0.00901
                     12,                0.67784,                0.94675,                0.45529,                0.93606,                0.93116,                0.84245,                0.88485,                0.60816,                 0.9131,                0.81724,                0.85319,                0.54732,                 1.1469,                 2.1014,                0.60226,                 1.2958,               0.008911,               0.008911,               0.008911
                     13,                0.66637,                0.93053,                0.44642,                0.93481,                0.91699,                0.81745,                0.88029,                0.62106,                0.91547,                0.80734,                0.85598,                0.54112,                  1.131,                 2.0096,                0.61519,                 1.2612,               0.008812,               0.008812,               0.008812
                     14,                0.65453,                0.91098,                0.43736,                 0.9305,                0.91894,                0.82977,                0.88547,                0.60919,                0.91597,                 0.8041,                0.84837,                0.54573,                 1.1981,                 2.1171,                0.59308,                 1.3565,               0.008713,               0.008713,               0.008713
                     15,                0.64194,                0.89842,                0.43158,                0.92587,                0.92485,                0.83383,                0.88039,                0.63127,                0.93381,                0.81256,                0.85041,                0.55453,                  1.139,                 2.0173,                0.59062,                 1.3171,               0.008614,               0.008614,               0.008614
