                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97128,                 1.1315,                 0.7671,                0.96569,                0.83195,                0.71237,                0.79179,                0.52087,                0.84692,                0.65662,                0.76542,                0.43702,                  1.137,                 1.4088,                0.69659,                 1.0613,              0.0033324,              0.0033324,              0.0033324
                      2,                0.92796,                0.94931,                0.58675,                0.95068,                0.85385,                0.70414,                0.79028,                0.50635,                0.86134,                0.66987,                0.77653,                0.44681,                 1.1787,                 1.4232,                0.71496,                  1.099,              0.0065997,              0.0065997,              0.0065997
                      3,                0.95656,                0.97783,                0.60655,                0.97124,                0.84724,                0.71818,                0.80015,                0.51448,                0.84558,                0.66649,                0.78354,                0.44067,                 1.1816,                 1.4158,                0.71942,                  1.117,              0.0098011,              0.0098011,              0.0098011
                      4,                0.92617,                0.95968,                0.58208,                0.97141,                 0.8126,                0.75273,                0.79888,                0.52361,                0.80467,                0.71792,                0.78994,                0.45254,                 1.1284,                 1.3885,                0.64587,                 1.0865,               0.009703,               0.009703,               0.009703
                      5,                0.83485,                 0.8665,                0.51782,                0.94275,                0.83817,                0.74234,                0.80277,                0.52844,                0.85468,                 0.6961,                 0.7941,                0.45167,                 1.1196,                 1.3663,                0.61655,                 1.1055,               0.009604,               0.009604,               0.009604
                      6,                0.78344,                0.82228,                0.48495,                0.92582,                0.85701,                0.73506,                  0.802,                0.53256,                0.86195,                0.70597,                0.79158,                0.45094,                 1.1072,                 1.3621,                0.59461,                 1.0871,               0.009505,               0.009505,               0.009505
                      7,                0.75221,                0.78797,                0.46568,                0.91337,                 0.8557,                0.76519,                0.81744,                0.54066,                0.84719,                0.72909,                0.80528,                 0.4655,                 1.1028,                 1.3285,                 0.5587,                 1.0902,               0.009406,               0.009406,               0.009406
                      8,                0.72905,                0.76632,                0.45159,                0.90623,                 0.8464,                0.75287,                0.81452,                0.54264,                0.84315,                0.73091,                0.80796,                0.46169,                  1.102,                 1.3923,                0.56791,                 1.0936,               0.009307,               0.009307,               0.009307
                      9,                0.70964,                0.74515,                0.43844,                0.90103,                 0.8604,                0.77164,                0.82098,                0.54565,                0.85222,                0.74078,                0.80568,                0.45546,                 1.0967,                 1.3984,                 0.5428,                 1.0813,               0.009208,               0.009208,               0.009208
                     10,                0.69542,                0.73068,                0.42858,                0.89568,                 0.8459,                0.75992,                0.81777,                0.54649,                0.85715,                0.71844,                 0.8013,                0.46076,                 1.1003,                 1.3631,                0.54335,                 1.0861,               0.009109,               0.009109,               0.009109
