                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1545,                  1.884,                 1.1764,                 1.3335,                0.84155,                0.76528,                0.80953,                0.52972,                0.83109,                0.72881,                0.76232,                0.46582,                 1.3423,                 2.0545,                0.75277,                 1.6448,               0.003328,               0.003328,               0.003328
                      2,                0.85176,                  1.278,                0.52124,                 1.0818,                0.88962,                0.82421,                0.87387,                0.60672,                0.85923,                0.78984,                0.83271,                0.54326,                 1.1268,                 1.6653,                0.60127,                 1.4645,              0.0065954,              0.0065954,              0.0065954
                      3,                0.83168,                 1.2395,                0.51916,                 1.0672,                0.91078,                0.81956,                0.86211,                0.61054,                0.89149,                0.79513,                0.83155,                0.52677,                 1.0978,                 1.7528,                0.65679,                 1.4113,              0.0097968,              0.0097968,              0.0097968
                      4,                0.80873,                 1.1929,                0.50884,                 1.0574,                0.89471,                0.80282,                0.86427,                0.59037,                 0.8819,                0.78877,                0.83086,                0.52837,                 1.2125,                 1.9486,                0.67157,                  1.606,               0.009703,               0.009703,               0.009703
                      5,                0.73794,                 1.0725,                 0.4632,                 1.0206,                0.89718,                0.80775,                 0.8638,                0.57468,                0.88742,                0.75209,                0.82271,                0.51179,                  1.268,                 2.0458,                0.64023,                  1.785,               0.009604,               0.009604,               0.009604
                      6,                0.68054,                0.97569,                0.42471,                0.99327,                0.94075,                0.82686,                0.87968,                0.59564,                0.91414,                0.81607,                0.85273,                0.54151,                 1.2208,                 1.8388,                0.61445,                 1.6767,               0.009505,               0.009505,               0.009505
                      7,                0.64041,                0.91343,                0.39888,                 0.9766,                0.92585,                0.82985,                0.89191,                0.64711,                0.91631,                0.79744,                 0.8528,                0.55642,                 1.0806,                 2.0829,                0.55397,                 1.5028,               0.009406,               0.009406,               0.009406
                      8,                0.61165,                0.86204,                0.38124,                0.96052,                0.92198,                0.78899,                0.85244,                0.61189,                0.90816,                0.77993,                0.83036,                0.55956,                 1.2081,                  2.159,                 0.6507,                 1.6526,               0.009307,               0.009307,               0.009307
                      9,                0.58577,                0.82589,                0.36289,                0.94829,                0.92363,                0.78638,                0.88914,                0.62698,                0.92226,                0.75987,                0.84575,                0.55749,                 1.1537,                  2.043,                0.60143,                 1.6058,               0.009208,               0.009208,               0.009208
                     10,                0.57182,                0.80429,                0.35208,                0.94416,                0.92596,                0.82242,                0.89203,                0.61661,                0.92861,                0.79852,                0.86622,                0.56309,                 1.1933,                 2.0369,                0.61509,                 1.7177,               0.009109,               0.009109,               0.009109
                     11,                0.55003,                0.76668,                0.34053,                0.93309,                0.91132,                0.82168,                0.87757,                 0.5899,                0.89181,                0.79272,                0.83801,                0.54388,                 1.3041,                 2.2309,                0.63183,                 1.7195,                0.00901,                0.00901,                0.00901
                     12,                0.53143,                0.74086,                0.32868,                0.92454,                0.93353,                0.81721,                0.88569,                0.61764,                0.91948,                0.78773,                0.84436,                0.54668,                 1.2615,                 2.2634,                0.62307,                 1.7729,               0.008911,               0.008911,               0.008911
